Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Lester Carpenter,House,1,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Lester Carpenter supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lester Carpenter,155,Yes,lester-carpenter,No
Michael McLendon,Senate,1,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,OPPOSE,N/A,N/A,43,D,Weak / Inconsistent,60,Michael McLendon has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Michael McLendon,140,Yes,michael-mclendon,No
Brad Mattox,House,2,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Brad Mattox supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brad Mattox,125,Yes,brad-mattox,No
Theresa Gillespie Isom,Senate,2,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,80,Theresa Gillespie Isom supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Theresa Gillespie Isom,80,Yes,theresa-gillespie-isom,No
William Tracy Arnold,House,3,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,William Tracy Arnold supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,William Tracy Arnold,155,Yes,william-tracy-arnold,No
Kathy L. Chism,Senate,3,Republican,OPPOSE,OPPOSE,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,11,F,Opposed,15,Kathy L. Chism is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Kathy L. Chism,140,Yes,kathy-l-chism,No
Jody Steverson,House,4,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,100,A,Strong Supporter,155,Jody Steverson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jody Steverson,155,Yes,jody-steverson,No
Rita Potts Parks,Senate,4,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,32,F,Opposed,45,Rita Potts Parks is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Rita Potts Parks,140,Yes,rita-potts-parks,No
John Faulkner,House,5,Democrat,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,77,B,Supporter,120,John Faulkner has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,John Faulkner,155,Yes,john-faulkner,No
Daniel H. Sparks,Senate,5,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,SUPPORT,OPPOSE,N/A,N/A,61,C,Mixed / Persuadable,85,Daniel H. Sparks has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Daniel H. Sparks,140,Yes,daniel-h-sparks,No
Justin Keen,House,6,Republican,N/A,N/A,SUPPORT,ABSENT,OPPOSE,ABSENT,ABSENT,ABSENT,SUPPORT,50,D,Weak / Inconsistent,62.5,Justin Keen has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Justin Keen,125,Yes,justin-keen,No
